median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
18500,235,70,88,0.5106383,0.1531915,0.4893617,0.2,0.1931818,105,0.1619048,0.6952381,275,156
17500,350,97,123,0.5171429,0.1971429,0.4428571,0.1371429,0.195122,130,0.0538462,0.7153846,130,157
37700,4670,1352,1692,0.5246253,0.1820128,0.5224839,0.1415418,0.1897163,1797,0.0584307,0.7729549,271,158
14999,61,17,19,0.4754098,0.1967213,0.5245902,0.0655738,0.1052632,23,0.173913,0.6956522,99,159
36700,1700,497,636,0.5317647,0.1952941,0.53,0.1064706,0.2028302,677,0.0605613,0.7104874,232,160
18100,1840,483,625,0.5434783,0.2016304,0.4331522,0.1728261,0.2032,681,0.082232,0.7239354,145,161
25300,1918,528,740,0.5563087,0.1720542,0.4666319,0.1605839,0.272973,809,0.0852905,0.6724351,180,162
19500,493,122,155,0.5395538,0.2332657,0.4158215,0.1298174,0.2,188,0.1755319,0.7021277,141,163
19600,302,86,132,0.5298013,0.1490066,0.4701987,0.2649007,0.3333333,145,0.0896552,0.6413793,141,164
41400,3383,934,1132,0.5081289,0.203961,0.5087201,0.0999113,0.1466431,1245,0.0907631,0.7341365,300,165
37200,638,182,255,0.5297806,0.2100313,0.4858934,0.1504702,0.2745098,268,0.0485075,0.7686567,219,166
31100,2241,643,857,0.5385988,0.1726908,0.5060241,0.1909862,0.2380397,904,0.0519912,0.8075221,274,167
25200,3047,737,1087,0.5553003,0.1933049,0.3967837,0.2090581,0.3063477,1185,0.0827004,0.6919831,142,168
26200,7492,1941,2819,0.5500534,0.1825948,0.4344634,0.1809931,0.2947854,3058,0.0781557,0.6863963,207,169
30600,443,118,149,0.537246,0.2573363,0.4266366,0.0880361,0.1879195,159,0.0628931,0.7861635,308,170
31400,1551,424,621,0.5261122,0.1605416,0.486138,0.1824629,0.2979066,697,0.1090387,0.7460545,172,171
33200,2464,692,980,0.5462662,0.174513,0.4630682,0.1806006,0.2857143,1069,0.0832554,0.6389149,169,172
63700,3261,997,1435,0.5200859,0.1064091,0.508433,0.2612695,0.2425087,4976,0.7116158,0.4200161,455,173
35800,7038,1997,2853,0.5383632,0.1699346,0.5055413,0.1770389,0.2726954,3154,0.0954344,0.6467977,288,174
32300,1007,284,376,0.5163853,0.2005958,0.4548163,0.1559086,0.2234043,393,0.043257,0.6564885,264,175
25300,243,75,94,0.5185185,0.2098765,0.5185185,0.1728395,0.1702128,97,0.0309278,0.7628866,209,176
28200,4452,1278,1844,0.5458221,0.1727314,0.4896676,0.1951932,0.29718,1981,0.069157,0.725896,194,177
33300,5787,1582,2240,0.4968032,0.1831692,0.5116641,0.1629514,0.2772321,2414,0.0720795,0.6826843,213,178
27400,420,123,166,0.5261905,0.1642857,0.5142857,0.15,0.2409639,179,0.0726257,0.7318436,188,179
31700,2246,624,805,0.530276,0.181211,0.4719501,0.1990205,0.2124224,877,0.0820981,0.7719498,200,180
32400,772,223,279,0.5297927,0.2072539,0.4766839,0.1476684,0.1899642,317,0.1198738,0.7570978,236,181
